"","X","RouteDataID","CountryNum","StateNum","Route","RPID","Year","AOU","RouteName","Active","Latitude","Longitude","Stratum","BCR","RouteTypeID","RouteTypeDetailID","Count10","Count20","Count30","Count40","Count50","StopTotal","SpeciesTotal","Month","Day","ObsN","TotalSpp","StartTemp","EndTemp","TempScale","StartWind","EndWind","StartSky","EndSky","StartTime","EndTime","Assistant","QualityCurrentID","RunType"
"51",51,6369412,840,2,1,101,2018,700,"ST FLORIAN",1,34.868688,-87.6041417,14,27,1,1,0,0,0,0,0,0,0,6,24,1040624,63,72,NA,"F",0,3,1,2,506,1008,"0   ",1,1
"52",52,6371873,840,2,1,101,2019,700,"ST FLORIAN",1,34.868688,-87.6041417,14,27,1,1,0,0,0,0,0,0,0,6,16,1040624,65,73,NA,"F",0,1,2,2,506,931,"0   ",1,1
"53",53,6379693,840,2,1,101,2021,700,"ST FLORIAN",1,34.868688,-87.6041417,14,27,1,1,0,0,0,0,0,0,0,6,6,1030697,65,72,NA,"F",1,1,2,5,506,1000,"0   ",1,1
"54",54,6379098,840,2,1,101,2022,700,"ST FLORIAN",1,34.868688,-87.6041417,14,27,1,1,0,0,0,0,0,0,0,6,5,1030697,64,61,NA,"F",0,2,2,1,506,955,"0   ",1,1
"55",55,6381019,840,2,1,101,2023,700,"ST FLORIAN",1,34.868688,-87.6041417,14,27,1,1,0,0,0,0,0,0,0,6,4,1030697,63,65,NA,"F",0,0,0,0,506,945,"0   ",1,1
"115",115,6246308,840,2,4,101,2001,700,"TRADE",1,34.0297881,-87.0592352,13,28,1,1,0,0,0,0,0,0,0,6,9,1150777,50,69,NA,"F",1,0,2,1,506,1035,"1   ",1,1
"116",116,6243957,840,2,4,101,2002,700,"TRADE",1,34.0297881,-87.0592352,13,28,1,1,0,0,0,0,0,0,0,6,10,1150777,56,74,NA,"F",1,1,1,0,506,1029,"0   ",1,1
"117",117,6246386,840,2,4,101,2003,700,"TRADE",1,34.0297881,-87.0592352,13,28,1,1,0,0,0,0,0,0,0,6,10,1150777,53,65,NA,"F",1,0,2,0,506,1028,"0   ",1,1
"118",118,6234777,840,2,4,101,2004,700,"TRADE",1,34.0297881,-87.0592352,13,28,1,1,0,0,0,0,0,0,0,6,8,1150777,55,72,NA,"F",0,0,1,0,506,1029,"0   ",1,1
"119",119,6251183,840,2,4,101,2005,700,"TRADE",1,34.0297881,-87.0592352,13,28,1,1,0,0,0,0,0,0,0,6,26,1150777,57,64,NA,"F",0,1,5,2,506,1028,"NULL",1,1
"120",120,6317552,840,2,4,101,2010,700,"TRADE",1,34.0297881,-87.0592352,13,28,1,1,0,0,0,0,0,0,0,6,18,1120636,56,72,NA,"F",0,2,0,1,506,1015,"1   ",1,1
"121",121,6341052,840,2,4,101,2011,700,"TRADE",1,34.0297881,-87.0592352,13,28,1,1,0,0,0,0,0,0,0,6,8,1120636,62,69,NA,"F",0,1,1,0,510,930,"1   ",1,1
"122",122,6344747,840,2,4,101,2012,700,"TRADE",1,34.0297881,-87.0592352,13,28,1,1,0,0,0,0,0,0,0,6,17,1120636,50,68,NA,"F",0,1,0,1,510,955,"NULL",1,1
"123",123,6351877,840,2,4,101,2013,700,"TRADE",1,34.0297881,-87.0592352,13,28,1,1,0,0,0,0,0,0,0,6,9,1120636,44,68,NA,"F",0,1,0,1,510,1035,"NULL",1,1
"124",124,6355507,840,2,4,101,2014,700,"TRADE",1,34.0297881,-87.0592352,13,28,1,1,0,0,0,0,0,0,0,6,25,1120636,61,71,NA,"F",0,1,2,1,515,1040,"1   ",1,1
"125",125,6359238,840,2,4,101,2015,700,"TRADE",1,34.0297881,-87.0592352,13,28,1,1,0,0,0,0,0,0,0,6,15,1120636,56,73,NA,"F",0,1,1,2,510,1030,"0   ",1,1
"126",126,6361800,840,2,4,101,2016,700,"TRADE",1,34.0297881,-87.0592352,13,28,1,1,0,0,0,0,0,0,0,6,11,1091291,53,70,NA,"F",0,0,1,2,506,1130,"1   ",1,1
"127",127,6364891,840,2,4,101,2017,700,"TRADE",1,34.0297881,-87.0592352,13,28,1,1,0,0,0,0,0,0,0,6,20,1091291,53,70,NA,"F",0,2,2,1,506,1130,"1   ",1,1
"128",128,6368437,840,2,4,101,2018,700,"TRADE",1,34.0297881,-87.0592352,13,28,1,1,0,0,0,0,0,0,0,6,23,1091291,51,70,NA,"F",0,1,2,2,506,1029,"1   ",1,1
"129",129,6372424,840,2,4,101,2019,700,"TRADE",1,34.0297881,-87.0592352,13,28,1,1,0,0,0,0,0,0,0,6,27,1091291,50,64,NA,"F",0,1,1,1,509,1034,"1   ",1,1
"130",130,6375608,840,2,4,101,2021,700,"TRADE",1,34.0297881,-87.0592352,13,28,1,1,0,0,0,0,0,0,0,6,25,1091291,51,70,NA,"F",0,3,2,2,506,1000,"1   ",1,1
"131",131,6378529,840,2,4,101,2022,700,"TRADE",1,34.0297881,-87.0592352,13,28,1,1,0,0,0,0,0,0,0,6,23,1091291,50,75,NA,"F",0,2,0,0,506,1021,"1   ",1,1
"132",132,6380056,840,2,4,101,2023,700,"TRADE",1,34.0297881,-87.0592352,13,28,1,1,0,0,0,0,0,0,0,5,24,1091291,50,61,NA,"F",1,2,2,1,506,1010,"1   ",1,1
"181",181,6246376,840,2,6,101,2001,700,"VALHERMOSO SPGS",0,34.5012877,-86.6855493,14,24,1,1,0,0,0,0,0,0,0,6,9,1090321,47,67,NA,"F",0,0,1,1,502,1015,"1   ",1,1
"182",182,6241865,840,2,6,101,2002,700,"VALHERMOSO SPGS",0,34.5012877,-86.6855493,14,24,1,1,0,0,0,0,0,0,0,6,8,1090321,52,70,NA,"F",2,2,0,1,502,1030,"1   ",1,1
"183",183,6235106,840,2,6,101,2003,700,"VALHERMOSO SPGS",0,34.5012877,-86.6855493,14,24,1,1,0,0,0,0,0,0,0,6,8,1090321,50,71,NA,"F",0,0,4,0,502,1025,"1   ",1,1
"184",184,6235109,840,2,6,101,2004,700,"VALHERMOSO SPGS",0,34.5012877,-86.6855493,14,24,1,1,0,0,0,0,0,0,0,6,12,1090321,51,72,NA,"F",0,0,0,0,502,1000,"1   ",1,1
"185",185,6251184,840,2,6,101,2005,700,"VALHERMOSO SPGS",0,34.5012877,-86.6855493,14,24,1,1,0,0,0,0,0,0,0,6,13,1090321,48,70,NA,"F",0,0,1,0,502,1010,"1   ",1,1
"186",186,6251185,840,2,6,101,2006,700,"VALHERMOSO SPGS",0,34.5012877,-86.6855493,14,24,1,1,0,0,0,0,0,0,0,6,7,1090321,49,56,NA,"F",0,0,0,0,502,1030,"NULL",1,1
"187",187,6260768,840,2,6,101,2007,700,"VALHERMOSO SPGS",0,34.5012877,-86.6855493,14,24,1,1,0,0,0,0,0,0,0,6,6,1090321,51,66,NA,"F",0,0,0,1,502,1045,"NULL",1,1
"188",188,6298561,840,2,6,101,2008,700,"VALHERMOSO SPGS",0,34.5012877,-86.6855493,14,24,1,1,0,0,0,0,0,0,0,5,29,1090321,52,69,NA,"F",0,0,2,2,502,1105,"1   ",1,1
"189",189,6312654,840,2,6,101,2009,700,"VALHERMOSO SPGS",0,34.5012877,-86.6855493,14,24,1,1,0,0,0,0,0,0,0,6,17,1090321,45,69,NA,"F",0,0,1,1,502,1050,"NULL",1,1
"190",190,6318852,840,2,6,101,2010,700,"VALHERMOSO SPGS",0,34.5012877,-86.6855493,14,24,1,1,0,0,0,0,0,0,0,6,6,1160435,62,74,NA,"F",0,4,2,2,502,1101,"NULL",1,1
"222",222,6247939,840,2,7,101,2001,700,"SWAIM",1,34.8680404,-86.2030371,14,24,1,1,0,0,0,0,0,0,0,6,9,1020117,47,60,NA,"F",0,1,2,0,502,931,"0   ",1,1
"223",223,6235872,840,2,7,101,2002,700,"SWAIM",1,34.8680404,-86.2030371,14,24,1,1,0,0,0,0,0,0,0,6,8,1020117,50,70,NA,"F",0,3,4,2,502,918,"0   ",1,1
"224",224,6245777,840,2,7,101,2003,700,"SWAIM",1,34.8680404,-86.2030371,14,24,1,1,0,0,0,0,0,0,0,6,8,1020117,49,70,NA,"F",0,1,2,2,502,910,"0   ",1,1
"225",225,6236023,840,2,7,101,2004,700,"SWAIM",1,34.8680404,-86.2030371,14,24,1,1,0,0,0,0,0,0,0,6,5,1020117,47,70,NA,"F",0,1,4,0,502,930,"0   ",1,1
"226",226,6251186,840,2,7,101,2006,700,"SWAIM",1,34.8680404,-86.2030371,14,24,1,1,0,0,0,0,0,0,0,6,3,1020117,51,60,NA,"F",0,2,0,0,502,945,"NULL",1,1
"227",227,6260132,840,2,7,101,2007,700,"SWAIM",1,34.8680404,-86.2030371,14,24,1,1,0,0,0,0,0,0,0,6,3,1020117,50,70,NA,"F",0,2,2,1,502,910,"NULL",1,1
"228",228,6297886,840,2,7,101,2008,700,"SWAIM",1,34.8680404,-86.2030371,14,24,1,1,0,0,0,0,0,0,0,6,7,1020117,63,75,NA,"F",0,1,0,0,502,945,"0   ",1,1
"229",229,6310888,840,2,7,101,2009,700,"SWAIM",1,34.8680404,-86.2030371,14,24,1,1,0,0,0,0,0,0,0,6,6,1190801,60,25,NA,"C",1,2,4,0,502,1015,"1   ",1,1
"230",230,6318531,840,2,7,101,2010,700,"SWAIM",1,34.8680404,-86.2030371,14,24,1,1,0,0,0,0,0,0,0,6,5,1190801,61,25,NA,"C",1,1,4,1,504,1004,"1   ",1,1
"231",231,6341053,840,2,7,101,2011,700,"SWAIM",1,34.8680404,-86.2030371,14,24,1,1,0,0,0,0,0,0,0,6,4,1190801,68,24,NA,"C",0,1,4,1,509,1010,"1   ",1,1
"232",232,6345394,840,2,7,101,2012,700,"SWAIM",1,34.8680404,-86.2030371,14,24,1,1,0,0,0,0,0,0,0,6,3,1190801,61,15,NA,"C",0,1,1,1,544,1101,"1   ",0,0
"233",233,6352369,840,2,7,101,2013,700,"SWAIM",1,34.8680404,-86.2030371,14,24,1,1,0,0,0,0,0,0,0,6,8,1190801,60,20,NA,"C",0,1,4,1,502,947,"1   ",1,1
"234",234,6355112,840,2,7,101,2014,700,"SWAIM",1,34.8680404,-86.2030371,14,24,1,1,0,0,0,0,0,0,0,6,8,1190801,66,21,NA,"C",0,1,2,2,502,1015,"1   ",1,1
"235",235,6358053,840,2,7,101,2015,700,"SWAIM",1,34.8680404,-86.2030371,14,24,1,1,0,0,0,0,0,0,0,5,30,1190801,62,20,NA,"C",0,2,4,0,502,1035,"1   ",1,1
"236",236,6361468,840,2,7,101,2016,700,"SWAIM",1,34.8680404,-86.2030371,14,24,1,1,0,0,0,0,0,0,0,5,22,1190801,61,14,NA,"C",1,3,2,0,502,1052,"1   ",1,1
"237",237,6364483,840,2,7,101,2017,700,"SWAIM",1,34.8680404,-86.2030371,14,24,1,1,0,0,0,0,0,0,0,5,27,1190801,68,16,NA,"C",0,1,1,1,502,1057,"1   ",1,1
"238",238,6368285,840,2,7,101,2018,700,"SWAIM",1,34.8680404,-86.2030371,14,24,1,1,0,0,0,0,0,0,0,5,27,1190801,63,21,NA,"C",0,1,4,2,502,1108,"1   ",1,1
"239",239,6372638,840,2,7,101,2019,700,"SWAIM",1,34.8680404,-86.2030371,14,24,1,1,0,0,0,0,0,0,0,5,26,1190801,66,19,NA,"C",0,2,4,1,502,1032,"1   ",1,1
"240",240,6375581,840,2,7,101,2021,700,"SWAIM",1,34.8680404,-86.2030371,14,24,1,1,0,0,0,0,0,0,0,5,30,1190801,67,13,NA,"C",3,3,2,1,502,1036,"1   ",1,1
"241",241,6378558,840,2,7,101,2022,700,"SWAIM",1,34.8680404,-86.2030371,14,24,1,1,0,0,0,0,0,0,0,5,29,1190801,60,15,NA,"C",1,2,2,1,502,950,"1   ",1,1
"242",242,6381426,840,2,7,101,2023,700,"SWAIM",1,34.8680404,-86.2030371,14,24,1,1,0,0,0,0,0,0,0,5,28,1190801,67,12,NA,"C",2,3,0,1,502,1053,"1   ",1,1
"272",272,6246379,840,2,8,101,2001,700,"PINE GROVE",1,34.0278089,-85.7110414,13,28,1,1,0,0,0,0,0,0,0,6,16,1030385,56,71,NA,"F",1,4,2,1,503,945,"0   ",1,1
"273",273,6241868,840,2,8,101,2002,700,"PINE GROVE",1,34.0278089,-85.7110414,13,28,1,1,0,0,0,0,0,0,0,6,16,1030385,55,60,NA,"F",0,1,0,0,531,920,"1   ",0,0
"274",274,6235112,840,2,8,101,2003,700,"PINE GROVE",1,34.0278089,-85.7110414,13,28,1,1,0,0,0,0,0,0,0,6,21,1030385,52,57,NA,"F",0,3,0,0,457,1005,"1   ",1,1
"275",275,6235114,840,2,8,101,2004,700,"PINE GROVE",1,34.0278089,-85.7110414,13,28,1,1,0,0,0,0,0,0,0,6,19,1030385,53,71,NA,"F",0,3,0,1,459,955,"NULL",1,1
"276",276,6251187,840,2,8,101,2006,700,"PINE GROVE",1,34.0278089,-85.7110414,13,28,1,1,0,0,0,0,0,0,0,6,17,1151241,53,71,NA,"F",1,2,0,0,458,1010,"NULL",1,1
"277",277,6260544,840,2,8,101,2007,700,"PINE GROVE",1,34.0278089,-85.7110414,13,28,1,1,0,0,0,0,0,0,0,6,10,1151241,59,61,NA,"F",1,2,0,0,458,951,"NULL",1,1
"278",278,6299710,840,2,8,101,2008,700,"PINE GROVE",1,34.0278089,-85.7110414,13,28,1,1,0,0,0,0,0,0,0,6,8,1151241,58,69,NA,"F",0,0,0,0,458,948,"1   ",1,1
"279",279,6312262,840,2,8,101,2009,700,"PINE GROVE",1,34.0278089,-85.7110414,13,28,1,1,0,0,0,0,0,0,0,5,31,1151241,59,65,NA,"F",0,0,0,0,458,1020,"1   ",1,1
"280",280,6341054,840,2,8,101,2011,700,"PINE GROVE",1,34.0278089,-85.7110414,13,28,1,1,0,0,0,0,0,0,0,6,1,990839,60,68,NA,"F",1,1,0,0,545,1045,"0   ",0,0
"281",281,6350509,840,2,8,101,2012,700,"PINE GROVE",1,34.0278089,-85.7110414,13,28,1,1,0,0,0,0,0,0,0,5,22,990839,58,63,NA,"F",1,1,4,4,530,1030,"0   ",0,0
"282",282,6352403,840,2,8,101,2013,700,"PINE GROVE",1,34.0278089,-85.7110414,13,28,1,1,0,0,0,0,0,0,0,5,28,990839,57,60,NA,"F",2,3,0,0,520,1146,"0   ",1,1
"283",283,6355947,840,2,8,101,2014,700,"PINE GROVE",1,34.0278089,-85.7110414,13,28,1,1,0,0,0,0,0,0,0,5,26,990839,60,68,NA,"F",1,1,0,0,521,1130,"0   ",1,1
"284",284,6359868,840,2,8,101,2015,700,"PINE GROVE",1,34.0278089,-85.7110414,13,28,1,1,0,0,0,0,0,0,0,5,25,990839,68,70,NA,"F",1,1,0,1,515,1130,"0   ",1,1
"285",285,6362391,840,2,8,101,2016,700,"PINE GROVE",1,34.0278089,-85.7110414,13,28,1,1,0,0,0,0,0,0,0,5,30,990839,61,65,NA,"F",1,1,1,1,504,1013,"0   ",1,1
"286",286,6366514,840,2,8,101,2017,700,"PINE GROVE",1,34.0278089,-85.7110414,13,28,1,1,0,0,0,0,0,0,0,6,8,990839,61,62,NA,"F",1,1,1,1,513,1130,"0   ",1,1
"287",287,6367751,840,2,8,101,2018,700,"PINE GROVE",1,34.0278089,-85.7110414,13,28,1,1,0,0,0,0,0,0,0,6,3,1120710,66,68,NA,"F",0,0,1,1,458,1100,"0   ",1,1
"288",288,6371419,840,2,8,101,2019,700,"PINE GROVE",1,34.0278089,-85.7110414,13,28,1,1,0,0,0,0,0,0,0,6,2,1120710,70,59,NA,"F",0,0,0,0,458,1115,"0   ",1,1
"289",289,6374553,840,2,8,101,2021,700,"PINE GROVE",1,34.0278089,-85.7110414,13,28,1,1,0,0,0,0,0,0,0,5,31,1120710,72,52,NA,"F",0,0,0,0,505,1043,"0   ",1,1
"290",290,6378177,840,2,8,101,2022,700,"PINE GROVE",1,34.0278089,-85.7110414,13,28,1,1,0,0,0,0,0,0,0,6,12,1120710,64,66,NA,"F",1,1,0,0,458,1200,"0   ",0,0
"291",291,6380346,840,2,8,101,2023,700,"PINE GROVE",1,34.0278089,-85.7110414,13,28,1,1,0,0,0,0,0,0,0,6,7,1120710,67,65,NA,"F",0,1,1,0,458,1026,"0   ",1,1
"353",353,6247943,840,2,10,101,2001,700,"MILLERVILLE",1,33.1913463,-85.9258408,11,29,1,1,0,0,0,0,0,0,0,6,5,1150772,58,66,NA,"F",0,1,1,2,501,919,"1   ",1,1
"354",354,6235875,840,2,10,101,2002,700,"MILLERVILLE",1,33.1913463,-85.9258408,11,29,1,1,0,0,0,0,0,0,0,6,10,1150772,60,63,NA,"F",0,0,0,0,501,854,"1   ",1,1
"355",355,6248094,840,2,10,101,2003,700,"MILLERVILLE",1,33.1913463,-85.9258408,11,29,1,1,0,0,0,0,0,0,0,6,20,1150772,59,69,NA,"F",0,1,4,1,501,857,"1   ",1,1
"356",356,6236027,840,2,10,101,2004,700,"MILLERVILLE",1,33.1913463,-85.9258408,11,29,1,1,0,0,0,0,0,0,0,5,31,1150772,40,76,NA,"F",1,3,8,8,520,830,"1   ",0,0
"357",357,6248716,840,2,10,101,2005,700,"MILLERVILLE",1,33.1913463,-85.9258408,11,29,1,1,0,0,0,0,0,0,0,6,19,1150772,60,15,NA,"C",0,1,0,1,501,916,"1   ",1,1
"358",358,6251188,840,2,10,101,2006,700,"MILLERVILLE",1,33.1913463,-85.9258408,11,29,1,1,0,0,0,0,0,0,0,6,1,1150772,60,19,NA,"C",1,2,4,0,501,918,"NULL",1,1
"359",359,6261208,840,2,10,101,2007,700,"MILLERVILLE",1,33.1913463,-85.9258408,11,29,1,1,0,0,0,0,0,0,0,5,31,1150772,60,18,NA,"C",1,1,4,4,501,911,"NULL",1,1
"360",360,6297786,840,2,10,101,2008,700,"MILLERVILLE",1,33.1913463,-85.9258408,11,29,1,1,0,0,0,0,0,0,0,5,30,1150772,60,19,NA,"C",1,1,1,2,501,905,"NULL",1,1
"361",361,6311457,840,2,10,101,2009,700,"MILLERVILLE",1,33.1913463,-85.9258408,11,29,1,1,0,0,0,0,0,0,0,5,30,1150772,60,16,NA,"C",0,2,0,0,501,901,"NULL",1,1
"362",362,6316835,840,2,10,101,2010,700,"MILLERVILLE",1,33.1913463,-85.9258408,11,29,1,1,0,0,0,0,0,0,0,5,27,1150772,64,52,NA,"F",1,2,0,0,501,853,"1   ",1,1
"363",363,6341055,840,2,10,101,2011,700,"MILLERVILLE",1,33.1913463,-85.9258408,11,29,1,1,0,0,0,0,0,0,0,5,31,1150772,63,65,NA,"F",0,0,0,0,501,902,"NULL",1,1
"364",364,6344161,840,2,10,101,2012,700,"MILLERVILLE",1,33.1913463,-85.9258408,11,29,1,1,0,0,0,0,0,0,0,5,28,1150772,65,65,NA,"F",0,3,0,0,501,901,"NULL",1,1
"365",365,6351218,840,2,10,101,2013,700,"MILLERVILLE",1,33.1913463,-85.9258408,11,29,1,1,0,0,0,0,0,0,0,6,11,1150772,60,73,NA,"F",1,2,2,1,501,902,"0   ",1,1
"366",366,6361705,840,2,10,101,2016,700,"MILLERVILLE",1,33.1913463,-85.9258408,11,29,1,1,0,0,0,0,0,0,0,5,31,1150772,66,64,NA,"F",1,1,0,0,501,900,"0   ",1,1
"367",367,6364739,840,2,10,101,2017,700,"MILLERVILLE",1,33.1913463,-85.9258408,11,29,1,1,0,0,0,0,0,0,0,6,1,1150772,57,67,NA,"F",1,0,1,1,501,851,"0   ",1,1
"368",368,6367545,840,2,10,101,2018,700,"MILLERVILLE",1,33.1913463,-85.9258408,11,29,1,1,0,0,0,0,0,0,0,5,31,1150772,59,70,NA,"F",0,1,2,2,501,845,"0   ",1,1
"369",369,6370984,840,2,10,101,2019,700,"MILLERVILLE",1,33.1913463,-85.9258408,11,29,1,1,0,0,0,0,0,0,0,5,30,1150772,62,65,NA,"F",1,3,1,1,501,843,"0   ",1,1
"370",370,6374498,840,2,10,101,2021,700,"MILLERVILLE",1,33.1913463,-85.9258408,11,29,1,1,0,0,0,0,0,0,0,5,25,1150772,62,65,NA,"F",0,0,1,1,501,849,"0   ",1,1
"371",371,6377119,840,2,10,101,2022,700,"MILLERVILLE",1,33.1913463,-85.9258408,11,29,1,1,0,0,0,0,0,0,0,5,29,1150772,64,58,NA,"F",0,1,0,0,501,847,"0   ",1,1
"372",372,6380144,840,2,10,101,2023,700,"MILLERVILLE",1,33.1913463,-85.9258408,11,29,1,1,0,0,0,0,0,0,0,5,30,1150772,69,51,NA,"F",1,0,0,0,501,853,"0   ",1,1
"373",373,6354498,840,2,10,501,2014,700,"MILLERVILLE",1,33.1913463,-85.9258408,11,29,1,1,0,0,0,0,0,0,0,5,29,1150772,65,63,NA,"F",0,1,1,1,501,858,"0   ",1,0
"374",374,6357603,840,2,10,501,2015,700,"MILLERVILLE",1,33.1913463,-85.9258408,11,29,1,1,0,0,0,0,0,0,0,5,27,1150772,63,66,NA,"F",0,0,1,2,501,858,"0   ",1,0
"422",422,6241776,840,2,12,101,2001,700,"SUNNY EVE",1,33.6076572,-85.7511714,13,28,1,1,0,0,0,0,0,0,0,6,7,1020160,65,72,NA,"F",0,0,1,2,501,930,"1   ",1,1
"423",423,6234782,840,2,12,101,2003,700,"SUNNY EVE",1,33.6076572,-85.7511714,13,28,1,1,0,0,0,0,0,0,0,6,7,1020160,56,62,NA,"F",1,1,1,1,601,927,"1   ",0,0
"424",424,6248058,840,2,12,101,2005,700,"SUNNY EVE",1,33.6076572,-85.7511714,13,28,1,1,0,0,0,0,0,0,0,6,14,1020160,54,68,NA,"F",0,1,0,0,501,920,"1   ",1,1
"425",425,6312656,840,2,12,101,2009,700,"SUNNY EVE",1,33.6076572,-85.7511714,13,28,1,1,0,0,0,0,0,0,0,5,31,1040614,58,60,NA,"F",1,3,0,0,501,1020,"1   ",1,1
"426",426,6318639,840,2,12,101,2010,700,"SUNNY EVE",1,33.6076572,-85.7511714,13,28,1,1,0,0,0,0,0,0,0,6,6,1040614,62,69,NA,"F",1,4,0,2,501,1025,"1   ",1,1
"427",427,6341056,840,2,12,101,2011,700,"SUNNY EVE",1,33.6076572,-85.7511714,13,28,1,1,0,0,0,0,0,0,0,6,5,1040614,62,67,NA,"F",2,2,0,0,501,1031,"1   ",1,1
"428",428,6346730,840,2,12,101,2012,700,"SUNNY EVE",1,33.6076572,-85.7511714,13,28,1,1,0,0,0,0,0,0,0,6,8,1040614,61,65,NA,"F",1,4,4,2,501,1010,"1   ",1,1
"429",429,6351224,840,2,12,101,2013,700,"SUNNY EVE",1,33.6076572,-85.7511714,13,28,1,1,0,0,0,0,0,0,0,5,31,1040614,62,69,NA,"F",1,5,1,1,501,1025,"1   ",0,0
"430",430,6356231,840,2,12,101,2014,700,"SUNNY EVE",1,33.6076572,-85.7511714,13,28,1,1,0,0,0,0,0,0,0,6,4,1040614,57,71,NA,"F",1,3,0,1,501,1045,"1   ",1,1
"431",431,6358608,840,2,12,101,2015,700,"SUNNY EVE",1,33.6076572,-85.7511714,13,28,1,1,0,0,0,0,0,0,0,6,10,1040614,55,68,NA,"F",0,2,0,2,501,1045,"1   ",1,1
"432",432,6363111,840,2,12,101,2016,700,"SUNNY EVE",1,33.6076572,-85.7511714,13,28,1,1,0,0,0,0,0,0,0,5,24,1040614,55,56,NA,"F",0,0,0,0,501,1045,"1   ",1,1
"433",433,6366754,840,2,12,101,2017,700,"SUNNY EVE",1,33.6076572,-85.7511714,13,28,1,1,0,0,0,0,0,0,0,5,29,1040614,60,70,NA,"F",1,2,0,5,501,1034,"1   ",1,1
"434",434,6369518,840,2,12,101,2018,700,"SUNNY EVE",1,33.6076572,-85.7511714,13,28,1,1,0,0,0,0,0,0,0,6,4,1040614,53,67,NA,"F",2,2,0,0,501,1049,"1   ",1,1
